% Model,yuinrods.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 13 2026, 13:14"
% Table,Table 6 - Global Evaluation 2 (freq*a/c_const)
% U,lambda (THz),freq*a/c_const (1)
6,1.4145969347086529-8.597024804498131E-16i,1.4155762397885132-8.602976400925466E-16i
6,1.4425678858441242+1.5501286015552914E-15i,1.4435665548105192+1.5512017332557024E-15i
6,1.4445026616482501-8.252048214902349E-16i,1.4455026700320626-8.257760989006282E-16i
6,1.4643138619642369-3.366472795596812E-16i,1.465327585356637-3.368803356217332E-16i
7,6.672918085804568E-9+1.8675023318945907E-6i,6.677537650868356E-9+1.8687951768565744E-6i
7,5.5030569664663845E-8-1.6697672832662677E-6i,5.50686665352974E-8-1.6709232391025669E-6i
7,8.664455734939077E-8+4.2261087770377834E-7i,8.670454012828177E-8+4.2290344512647304E-7i
7,1.9848127317955764E-7+1.3625077848352524E-6i,1.9861867890574915E-7+1.363451029347028E-6i
7,2.875148277679603E-7-1.3719662375335255E-6i,2.877138701414166E-7-1.3729160299958501E-6i
7,3.958836882421734E-7-2.335474385646242E-7i,3.961577528166236E-7-2.3370912009196462E-7i
7,1.1084381684221663E-6+4.278252872396431E-7i,1.1092055241985103E-6+4.281214645229431E-7i
7,1.1504427755758036E-6-5.479695359486197E-7i,1.1512392105365808E-6-5.483488873645577E-7i
7,1.6041574286048556E-6-1.358780415999152E-7i,1.6052679636839186E-6-1.359721080107177E-7i
7,1.6425998091723591E-6+3.86292339162289E-8i,1.6437369573577053E-6+3.865597637839398E-8i
7,1.9164388118843484E-6-7.585708939523145E-9i,1.917765534866472E-6-7.590960416545716E-9i
7,0.07044724758896746-1.004719849813192E-14i,0.07049601720364239-1.0054154028916819E-14i
7,0.09027344958931235-1.2869541921663424E-15i,0.0903359445980249-1.287845132014304E-15i
7,0.5644447987548115,0.5648355557578552
7,0.6240058879959416+5.28679330429612E-16i,0.6244378782830571+5.290453275141552E-16i
7,0.6281219969053118+3.8453435903016214E-16i,0.6285568367153304+3.8480056662749214E-16i
7,0.6425303225021529-1.1393667208870557E-16i,0.6429751369884225-1.1401554880547284E-16i
7,0.7999728817292981+5.100581547624369E-16i,0.8005266914312749+5.104112606753138E-16i
7,0.8255462152008506-2.2940660008576894E-16i,0.8261177289531918-2.295654149702815E-16i
7,0.8893372603927497,0.8899529357667327
7,0.9455492152740035-4.0408197481124604E-16i,0.946203805374587-4.043617149413872E-16i
7,0.9680698069199982+1.276328492692955E-16i,0.9687399877017568+1.27721207652224E-16i
7,1.0402657585971486+2.361672400770557E-15i,1.0409859195962314+2.363307352552435E-15i
7,1.0526578130084685+1.5234987124570026E-15i,1.0533865528483057+1.524553408668809E-15i
7,1.0715658598699083,1.0723076894782073
7,1.1154622481898233-1.4389691940734284E-15i,1.1162344666354047-1.4399653717173514E-15i
7,1.1292868980009867+1.6835436917707388E-16i,1.130068687052481+1.6847091848161888E-16i
7,1.160248236562391-3.0635416493398765E-16i,1.161051459702556-3.0656624950917307E-16i
7,1.1806939960818383-4.510842255621224E-16i,1.1815113735267866-4.513965046733655E-16i
7,1.1893733770839487+2.2075624666364838E-16i,1.1901967631393335+2.2090907303309984E-16i
7,1.3102745497265351,1.3111816339220932
7,1.318737553842622-1.5195264618124672E-15i,1.3196504968540157-1.5205784080923746E-15i
7,1.324480640553653+5.760203910619082E-16i,1.3253975594212444+5.764191616807533E-16i
7,1.3409698582386944-2.481012398868119E-16i,1.3418981923541529-2.4827299680115226E-16i
7,1.3613336889184644+6.918695306167915E-16i,1.3622761206205503+6.923485019260806E-16i
7,1.3699835295143459+3.133092143267197E-16i,1.370931949376471+3.1352611378240843E-16i
7,1.4101449602987695+1.6268105886896407E-15i,1.4111211833408792+1.6279368062250992E-15i
7,1.4468078239863649,1.4478094282008571
7,1.4507994722593125+1.8530000746570927E-15i,1.4518038398344022+1.854282879915304E-15i
7,1.4708094472629456-1.8729465854477747E-16i,1.4718276674554756-1.874243199388066E-16i
8,2.482325874724399E-9-1.8791930146760255E-6i,2.4840443531682165E-9-1.8804939529292882E-6i
8,2.363464020718856E-8+4.394750667055944E-7i,2.365100212813415E-8+4.3977930896339734E-7i
8,2.6204777845786565E-8-1.651234612434092E-6i,2.622291903599512E-8-1.6523777383693474E-6i
8,1.6850423790626617E-7+1.3292588093633533E-6i,1.686208909627735E-7+1.3301790360883794E-6i
8,2.0423778949937035E-7-1.3363085810027125E-6i,2.0437918037888432E-7-1.3372336881830886E-6i
8,3.6628535134608835E-7-1.8209970427820184E-7i,3.665389254182855E-7-1.8222576928022837E-7i
8,1.0456484243413758E-6-3.9149393269274514E-7i,1.0463723116824128E-6-3.917649583026653E-7i
8,1.0697319221527682E-6+3.669058532721362E-7i,1.0704724821524044E-6+3.671598569088781E-7i
8,1.584158107217907E-6-6.084049900243863E-8i,1.5852547970548747E-6-6.088261800345753E-8i
8,1.6299766280816474E-6+1.2534178595017172E-8i,1.6311050374205685E-6+1.2542855826296843E-8i
8,1.9131891400240864E-6-3.1749997509118494E-9i,1.9145136133051946E-6-3.1771977575018075E-9i
8,0.08038855672540487-2.371522343495857E-15i,0.08044420856518499-2.37316411425119E-15i
8,0.10313699206479156-5.633134700962356E-16i,0.10320839231865356-5.637034438967462E-16i
8,0.5602560689946299,0.5606439262004015
8,0.6228576490815856+7.141116256416001E-16i,0.6232888444594415+7.146059948328653E-16i
8,0.6283438480847829+7.480745047801789E-17i,0.6287788414791771+7.48592385983418E-17i
8,0.6460524772113104,0.6464997300345464
8,0.7941883643163614+2.6756131249230344E-16i,0.7947381694802622+2.6774654133457564E-16i
8,0.8263169118534347,0.8268889591479662
8,0.8891936371774488+4.0824455627027207E-16i,0.8898092131231488+4.0852717809559316E-16i
8,0.9487108887073116-3.6600868976552573E-16i,0.9493676675888673-3.6626207230889616E-16i
