% Model,yuin.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 12 2026, 12:36"
% Table,Table 3 - Global Evaluation 1 (freq*a/(c_const))
% U,lambda (THz),freq*a/(c_const) (1)
9,1.1279770182552557E-5+4.462090363121084E-6i,1.1287579004958713E-5+4.465179404000634E-6i
9,0.06947634009780121-2.337255450411984E-14i,0.06952443756720644-2.338873498690868E-14i
9,0.08062579466049842+4.8485123881411636E-15i,0.08068161073668347+4.851868943422015E-15i
9,0.42277896469898857-1.2292171219515973E-15i,0.42307164848588874-1.2300680912575834E-15i
9,0.4716487990505824+5.990213807217697E-17i,0.47197531471980764+5.994360745944145E-17i
9,0.5141030601324914,0.5144589662750869
9,0.5448045245301084,0.5451816848542351
9,0.5824173286581928-5.675287955015651E-16i,0.5828205277847845-5.679216875111298E-16i
9,0.6245306946048697-3.371517348337542E-16i,0.6249630482080403-3.373851401229255E-16i
9,0.7123244945488542+6.701905287421696E-16i,0.7128176265350085+6.706544919907587E-16i
9,0.7855591875567012+6.875870335955804E-16i,0.7861030188658393+6.880630401938734E-16i
9,0.7924827082823538,0.7930313326451531
9,0.8355847589283144,0.8361632222198675
9,0.8474694501366513+1.8358105504790193E-15i,0.8480561410287226+1.8370814556772667E-15i
9,0.855507571478734+2.6854364255427303E-15i,0.8560998270464169+2.687295514494961E-15i
9,0.8683115222681005+7.032104846748894E-16i,0.8689126418264669+7.036973071633003E-16i
9,0.8910416753342079+2.1986576026338294E-16i,0.8916585306501018+2.2001797016192743E-16i
9,0.9292601317876051-1.4647835433742302E-16i,0.9299034451903441-1.4657975919203047E-16i
9,0.9500927676916061+3.0535161804817833E-15i,0.950750503228076+3.0556300857459693E-15i
9,1.0017025012933074+1.4248701085361199E-15i,1.0023959655048833+1.4258565255862306E-15i
9,1.0101428990405066-9.41328851071731E-16i,1.0108422064178544-9.419805194749737E-16i
9,1.014140951629366+6.8786057896362E-16i,1.014843026800927+6.883367749334306E-16i
9,1.032171276775821-1.0011159648265034E-15i,1.0328858340817444-1.0018090229873328E-15i
9,1.03669332668867+5.81278383831714E-16i,1.0374110145446054+5.816807944832094E-16i
10,5.127995647727941E-7+3.818361388056072E-6i,5.131545685243297E-7+3.82100478463945E-6i
10,7.534392093976047E-7+5.378030066487091E-6i,7.539608045085691E-7+5.381753199228671E-6i
10,1.2015882538742938E-6+1.2918153692810746E-6i,1.2024200961129186E-6+1.2927096744519246E-6i
10,1.2441001448573733E-6-1.626883915190072E-6i,1.2449614174657189E-6-1.6280101834884105E-6i
10,4.603853934397006E-6+3.586959059596124E-7i,4.60704111615477E-6+3.589442259680986E-7i
10,5.753720567174994E-6+3.8872608919496405E-8i,5.757703785038175E-6+3.8899519866670294E-8i
10,1.0469399758728001E-5+2.650312961405928E-6i,1.047664757336357E-5+2.65214773488991E-6i
10,0.0771196000037115+4.327112284577363E-15i,0.07717298879184428+4.330107882077569E-15i
