% Model,SiGratingSlab80.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:22"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0.003490658503988659,1.2575051820904504+0.48608201564436126i,1.2575051820904504E12+4.8608201564436127E11i,1.2935113227995827
0.003490658503988659,1.4871584307023644+0.08029499276575064i,1.4871584307023645E12+8.029499276575064E10i,9.260592594116922
0.003490658503988659,1.6263540119657502+3.134353374605391E-5i,1.6263540119657502E12+3.1343533746053904E7i,25944.01169221236
0.003490658503988659,1.6746370029532651+0.02495886020968229i,1.6746370029532651E12+2.495886020968229E10i,33.54794627808411
0.003490658503988659,1.898762372696099+0.08581635541715643i,1.8987623726960989E12+8.581635541715643E10i,11.062939945807218
0.003490658503988659,2.0324250464917624+9.816344581678852E-7i,2.0324250464917622E12+981634.4581678853i,1035224.9911260572
0.003490658503988659,2.1835862699347515+0.01749390345886042i,2.1835862699347517E12+1.749390345886042E10i,62.4099211210862
0.003490658503988659,2.25393916741106+2.9189978856072897E-7i,2.25393916741106E12+291899.78856072895i,3860809.866503439
0.003490658503988659,2.2953914613534545+1.0042987196276995E-5i,2.2953914613534546E12+1.0042987196276994E7i,114278.32259929457
0.003490658503988659,2.2992469017751715+1.0731741390071896E-5i,2.2992469017751714E12+1.0731741390071897E7i,107123.66326224749
0.003490658503988659,2.435088915207653+0.0842908500349281i,2.4350889152076533E12+8.42908500349281E10i,14.444562572323159
0.003490658503988659,2.545249870388944+5.2376697662022305E-6i,2.5452498703889443E12+5237669.766202231i,242975.40547640075
0.003490658503988659,2.5957323217607025+0.005236405730425282i,2.5957323217607026E12+5.2364057304252825E9i,247.85439243932368
0.003490658503988659,2.6566632144386855+4.05702932781885E-6i,2.6566632144386855E12+4057029.3278188505i,327414.83974765433
0.003490658503988659,2.7069554147718353+0.034382858551469664i,2.7069554147718354E12+3.4382858551469666E10i,39.36489763815942
0.004363323129985824,0.5873747216865798+0.06124977550606632i,5.873747216865798E11+6.124977550606632E10i,4.794913261587423
0.004363323129985824,0.9830598473746507+0.09070772383854582i,9.830598473746508E11+9.070772383854582E10i,5.418832078315828
0.004363323129985824,1.226260770223201+0.004340021581311097i,1.226260770223201E12+4.340021581311097E9i,141.27357977938374
0.004363323129985824,1.2373079436029182+2.049793871809203E-4i,1.2373079436029182E12+2.049793871809203E8i,3018.12772644997
0.004363323129985824,1.2478988163456903+0.40001564096006403i,1.2478988163456904E12+4.00015640960064E11i,1.5598125280184678
0.004363323129985824,1.2575148723865288+0.48607938386045374i,1.2575148723865288E12+4.8607938386045374E11i,1.293528294081634
0.004363323129985824,1.4871561281938754+0.08029148451323495i,1.4871561281938755E12+8.029148451323495E10i,9.260982887598361
