% Model,SiGratingSlab.mph
% Version,COMSOL 5.4.0.388
% Date,"Aug 17 2026, 16:06"
% Table,"Table 6 - Global Evaluation 2 (freq, real(freq)/(2*abs(imag(freq))))"
% U (rad),lambda (THz),Frequency (1/s),Q (1)
0.030543261909900768,1.6769067058943634+0.023155295457543343i,1.6769067058943635E12+2.3155295457543343E10i,36.2100045099635
0.030543261909900768,1.89859377896618+0.08574333180190741i,1.89859377896618E12+8.574333180190741E10i,11.0713786079161
0.030543261909900768,2.0318270743510825+7.050990871366516E-5i,2.0318270743510823E12+7.050990871366516E7i,14408.096049323805
0.030543261909900768,2.183238840767893+0.017669588241895885i,2.183238840767893E12+1.7669588241895885E10i,61.779561891297334
0.030543261909900768,2.2540675607017473+2.2323079261695585E-5i,2.2540675607017476E12+2.2323079261695586E7i,50487.37977133662
0.030543261909900768,2.2807220481147876+1.4022838877751845E-5i,2.2807220481147876E12+1.4022838877751846E7i,81321.694843592
0.030543261909900768,2.314278374956711+1.0329022915294839E-5i,2.314278374956711E12+1.032902291529484E7i,112027.9427171089
0.030543261909900768,2.4350393127250753+0.0840394383259904i,2.435039312725075E12+8.40394383259904E10i,14.487479695422978
0.030543261909900768,2.5424110639020023+3.764122243540678E-4i,2.5424110639020024E12+3.764122243540678E8i,3377.1632526877142
0.030543261909900768,2.5972444007285076+0.004830560978870962i,2.597244400728508E12+4.830560978870962E9i,268.83465627376853
0.030543261909900768,2.657851793552837+3.6153240916342023E-4i,2.6578517935528374E12+3.6153240916342026E8i,3675.8140158209612
0.030543261909900768,2.707195922559151+0.03425477546456166i,2.707195922559151E12+3.425477546456166E10i,39.51559871352661
0.03490658503988659,0.5884357242041968+0.06068007599183339i,5.884357242041968E11+6.06800759918334E10i,4.848673263719966
0.03490658503988659,0.9835015107543176+0.09012235865604368i,9.835015107543176E11+9.012235865604369E10i,5.456478977142057
0.03490658503988659,1.211801945564374+0.0026962379828887203i,1.211801945564374E12+2.6962379828887205E9i,224.72088021437602
0.03490658503988659,1.2494651343906609+0.39962382316648826i,1.249465134390661E12+3.996238231664883E11i,1.5633016126144688
0.03490658503988659,1.2517585511134568+0.0018704272801449413i,1.2517585511134568E12+1.8704272801449413E9i,334.6183421299482
0.03490658503988659,1.2592087754370138+0.4856197933215381i,1.259208775437014E12+4.856197933215381E11i,1.2964965521939382
0.03490658503988659,1.486749682291454+0.07967475025742028i,1.486749682291454E12+7.967475025742029E10i,9.330118246294658
0.03490658503988659,1.6237908553416276+0.0028859209402344456i,1.6237908553416277E12+2.8859209402344456E9i,281.32975382369875
0.03490658503988659,1.6776258262781165+0.022652404416616385i,1.6776258262781165E12+2.2652404416616386E10i,37.02975179640346
0.03490658503988659,1.8985413700894977+0.08572061674854588i,1.8985413700894978E12+8.572061674854588E10i,11.074006709836835
0.03490658503988659,2.031642774039293+9.21527277329545E-5i,2.031642774039293E12+9.21527277329545E7i,11023.237314942564
0.03490658503988659,2.183130089952207+0.017723658272528624i,2.183130089952207E12+1.7723658272528625E10i,61.58802140007467
0.03490658503988659,2.2540799623438765+2.891319177310365E-5i,2.2540799623438765E12+2.891319177310365E7i,38980.13024699547
0.03490658503988659,2.2784273178331476+1.5493530930904295E-5i,2.2784273178331475E12+1.5493530930904295E7i,73528.34315154282
0.03490658503988659,2.316712991222789+1.0385694113188113E-5i,2.316712991222789E12+1.0385694113188114E7i,111533.85445277781
0.03490658503988659,2.4350240612820384+0.08396137589865689i,2.4350240612820386E12+8.396137589865689E10i,14.500858491297015
0.03490658503988659,2.541573918150337+4.768810017309294E-4i,2.5415739181503374E12+4.768810017309294E8i,2664.788394720293
0.03490658503988659,2.5976674879618784+0.004721630146325565i,2.5976674879618784E12+4.721630146325564E9i,275.0816357337325
0.03490658503988659,2.6582234314937825+4.708344989226668E-4i,2.6582234314937827E12+4.708344989226668E8i,2822.8851513389086
0.03490658503988659,2.7072698577556427+0.03421449058640455i,2.7072698577556426E12+3.421449058640455E10i,39.563205696702695
0.039269908169872414,0.5887215344001934+0.06052730915801176i,5.887215344001934E11+6.052730915801176E10i,4.863271989039568
0.039269908169872414,0.9836208821731989+0.08996500775699938i,9.836208821731989E11+8.996500775699937E10i,5.466685918763076
0.039269908169872414,1.209427728769055+0.00261661168653788i,1.209427728769055E12+2.61661168653788E9i,231.1056957727813
0.039269908169872414,1.2498875040268882+0.3995178191873552i,1.2498875040268882E12+3.9951781918735516E11i,1.5642450023496317
0.039269908169872414,1.254130573267053+0.001955987114286381i,1.254130573267053E12+1.955987114286381E9i,320.58763682720064
0.039269908169872414,1.259665214038143+0.48549610587892394i,1.259665214038143E12+4.8549610587892395E11i,1.2972969286310674
0.039269908169872414,1.486638792811524+0.07950738420328264i,1.486638792811524E12+7.950738420328264E10i,9.349061145129113
0.039269908169872414,1.6230876214307222+0.003572829542289175i,1.6230876214307222E12+3.572829542289175E9i,227.14316513275097
0.039269908169872414,1.678444272956146+0.022113375718862748i,1.678444272956146E12+2.2113375718862747E10i,37.95088308304802
0.039269908169872414,1.8984819073037282+0.0856948358901172i,1.8984819073037283E12+8.56948358901172E10i,11.076991323830002
0.039269908169872414,2.03143456666189+1.1672535590082391E-4i,2.0314345666618896E12+1.1672535590082392E8i,8701.770712046082
0.039269908169872414,2.1830062887655677+0.01778469613584417i,2.1830062887655676E12+1.778469613584417E10i,61.3731680342243
0.039269908169872414,2.2540735722950513+3.61465405442547E-5i,2.2540735722950513E12+3.61465405442547E7i,31179.658389927503
0.039269908169872414,2.276170039644577+1.7494308517250205E-5i,2.276170039644577E12+1.7494308517250206E7i,65054.58725048112
0.039269908169872414,2.3191493359920097+1.0451259256937393E-5i,2.31914933599201E12+1.0451259256937392E7i,110950.713161794
0.039269908169872414,2.435006853303778+0.08387285692234546i,2.435006853303778E12+8.387285692234546E10i,14.5160600381018
